=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
                  Аляска СН-153 В хром/ХДП    Excel

                  Аризона СН-400 В хром/МБ    Excel

              Вермонт СН-151 В хром/ХДП/МБ    Excel

                   Верона К-10 В дерево/МБ    Excel

               Калифорния СН-438 В хром/МБ    Excel
              Калифорния СН-438 В хром/ХДП    Excel

                       Престиж Нептун хром    Excel

                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                Сириус С-102 Гольф пластик    Excel

                        Честер GTS TG хром    Excel

               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                        Модель Источник
          Дэли ch-503 white ch     JSON
                         Тоник     JSON
                    Epik е-277     JSON
                 Астек пвм б/п     JSON
                   Престиж cpt     JSON
                  Престиж люкс     JSON
                   Престиж пвм     JSON
      Самба люкс gtp tg столик     JSON
              Айкью сн-710 н_п     JSON
        Айкью сн-710 н пластик     JSON
         Бремен м-123 алюминий     JSON
  Вермонт сн-151 в хром хдп мб     JSON
          Кайман в топ-ган lux     JSON
      Калифорния в cн-438 хром     JSON
     Канзас м-111 пластик/хром     JSON
    Онтарио м-105 пластик/хром     JSON
Онтарио м-405 н/п пластик/хром     JSON
                    Ройс м-704     JSON
                 Палермо м-702     JSON
                         Изо-2     JSON
                         Изо-3     JSON
                       Клуб 4l     JSON
                       Клуб 4к     JSON
                      Клуб gts     JSON
                          Клуб     JSON
                     Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
 Астон М-711 с подголовником белый пластик             package_depth                  -              -               Да
 Астон М-711 с подголовником белый пластик             package_width                630              -               Да
 Астон М-711 с подголовником белый пластик             package_depth                380              -               Да
 Астон М-711 с подголовником белый пластик            package_height                720              -               Да
 Астон М-711 с подголовником белый пластик                    volume               0,17              -               Да
 Астон М-711 с подголовником черный пластик            package_width                  -              -               Да
 Астон М-711 с подголовником черный пластик                    netto                  -           13.4               Да
 Астон М-711 с подголовником черный пластик           package_height                  -              -               Да
 Астон М-711 с подголовником черный пластик                   volume                  -              -               Да
 Астон М-711 с подголовником черный пластик                   brutto                  -          15.85               Да
 Астон М-711 с подголовником черный пластик            package_depth                  -              -               Да
 Астон М-711 с подголовником черный пластик            package_width                630              -               Да
 Астон М-711 с подголовником черный пластик            package_depth                380              -               Да
 Астон М-711 с подголовником черный пластик           package_height                720              -               Да
 Астон М-711 с подголовником черный пластик                   volume               0,17              -               Да
                        Аэро М-808 BLACK PL            package_width                  -              -               Да
                        Аэро М-808 BLACK PL                    netto                  -            9.2               Да
                        Аэро М-808 BLACK PL           package_height                  -              -               Да
                        Аэро М-808 BLACK PL                   volume                  -              -               Да
                        Аэро М-808 BLACK PL                   brutto                  -              -               Да
                        Аэро М-808 BLACK PL            package_depth                  -              -               Да
                        Аэро М-808 BLACK PL            package_width                624              -               Да
                        Аэро М-808 BLACK PL            package_depth                322              -               Да
                        Аэро М-808 BLACK PL           package_height                665              -               Да
                        Аэро М-808 BLACK PL                   brutto               11,3              -               Да
                        Аэро М-808 BLACK PL                   volume               0,13              -               Да
                        Вальтер Б/п пластик            package_width                  -              -               Да
                        Вальтер Б/п пластик                    netto                  -              8               Да
                        Вальтер Б/п пластик           package_height                  -              -               Да
                        Вальтер Б/п пластик                   volume                  -              -               Да
                        Вальтер Б/п пластик                   brutto                  -              -               Да
                        Вальтер Б/п пластик            package_depth                  -              -               Да
                        Вальтер Б/п пластик            package_width                584              -               Да
                        Вальтер Б/п пластик            package_depth                262              -               Да
                        Вальтер Б/п пластик           package_height                584              -               Да
                        Вальтер Б/п пластик                   brutto                 10              -               Да
                        Вальтер Б/п пластик                   volume               0,09              -               Да
                      Вальтер Рондо пластик            package_width                  -              -               Да
                      Вальтер Рондо пластик                    netto                  -           8.25               Да
                      Вальтер Рондо пластик           package_height                  -              -               Да
                      Вальтер Рондо пластик                   volume                  -              -               Да
                      Вальтер Рондо пластик                   brutto                  -              -               Да
                      Вальтер Рондо пластик            package_depth                  -              -               Да
                      Вальтер Рондо пластик            package_width                584              -               Да
                      Вальтер Рондо пластик            package_depth                262              -               Да
                      Вальтер Рондо пластик           package_height                584              -               Да
                      Вальтер Рондо пластик                   brutto                 10              -               Да
                      Вальтер Рондо пластик                   volume               0,09              -               Да
                       Вальтер Т-01 пластик            package_width                  -              -               Да
                       Вальтер Т-01 пластик                    netto                  -           8.25               Да
                       Вальтер Т-01 пластик           package_height                  -              -               Да
                       Вальтер Т-01 пластик                   volume                  -              -               Да
                       Вальтер Т-01 пластик                   brutto                  -              -               Да
                       Вальтер Т-01 пластик            package_depth                  -              -               Да
                       Вальтер Т-01 пластик            package_width                584              -               Да
                       Вальтер Т-01 пластик            package_depth                262              -               Да
                       Вальтер Т-01 пластик           package_height                584              -               Да
                       Вальтер Т-01 пластик                   brutto                 10              -               Да
                       Вальтер Т-01 пластик                   volume               0,09              -               Да
                     Гарвард СН-500 пластик            package_width                  -              -               Да
                     Гарвард СН-500 пластик                    netto                  -          12.75               Да
                     Гарвард СН-500 пластик           package_height                  -              -               Да
                     Гарвард СН-500 пластик                   volume                  -              -               Да
                     Гарвард СН-500 пластик                   brutto                  -              -               Да
                     Гарвард СН-500 пластик            package_depth                  -              -               Да
                     Гарвард СН-500 пластик            package_width                910              -               Да
                     Гарвард СН-500 пластик            package_depth                270              -               Да
                     Гарвард СН-500 пластик           package_height                690              -               Да
                     Гарвард СН-500 пластик                   brutto               14,5              -               Да
                     Гарвард СН-500 пластик                   volume               0,17              -               Да
                        Гарвард СН-500 хром            package_width                  -              -               Да
                        Гарвард СН-500 хром                    netto                  -              -               Да
                        Гарвард СН-500 хром           package_height                  -              -               Да
                        Гарвард СН-500 хром                   volume                  -              -               Да
                        Гарвард СН-500 хром                   brutto                  -              -               Да
                        Гарвард СН-500 хром            package_depth                  -              -               Да
                        Гарвард СН-500 хром            package_width                910              -               Да
                        Гарвард СН-500 хром            package_depth                270              -               Да
                        Гарвард СН-500 хром           package_height                690              -               Да
                        Гарвард СН-500 хром                   brutto               14,5              -               Да
                        Гарвард СН-500 хром                   volume               0,17              -               Да
                  Директ Лайт МС-040 В хром            package_width                  -              -               Да
                  Директ Лайт МС-040 В хром                    netto                  -              -               Да
                  Директ Лайт МС-040 В хром           package_height                  -              -               Да
                  Директ Лайт МС-040 В хром                   volume                  -              -               Да
                  Директ Лайт МС-040 В хром                   brutto                  -              -               Да
                  Директ Лайт МС-040 В хром            package_depth                  -              -               Да
                  Директ Лайт МС-040 В хром            package_width                910              -               Да
                  Директ Лайт МС-040 В хром            package_depth                270              -               Да
                  Директ Лайт МС-040 В хром           package_height                690              -               Да
                  Директ Лайт МС-040 В хром                   brutto                 14              -               Да
                  Директ Лайт МС-040 В хром                    netto               13,6              -               Да
                  Директ Лайт МС-040 В хром                   volume               0,17              -               Да
                  Директ Лайт МС-040 Н хром            package_width                  -              -               Да
                  Директ Лайт МС-040 Н хром                    netto                  -              -               Да
                  Директ Лайт МС-040 Н хром           package_height                  -              -               Да
                  Директ Лайт МС-040 Н хром                   volume                  -              -               Да
                  Директ Лайт МС-040 Н хром                   brutto                  -              -               Да
                  Директ Лайт МС-040 Н хром            package_depth                  -              -               Да
                  Директ Лайт МС-040 Н хром            package_width                624              -               Да
                  Директ Лайт МС-040 Н хром            package_depth                322              -               Да
                  Директ Лайт МС-040 Н хром           package_height                665              -               Да
                  Директ Лайт МС-040 Н хром                   brutto                 12              -               Да
                  Директ Лайт МС-040 Н хром                    netto               13,6              -               Да
                  Директ Лайт МС-040 Н хром                   volume               0,13              -               Да
                Директ Лайт МС-040 Н/п хром            package_width                  -              -               Да
                Директ Лайт МС-040 Н/п хром                    netto                  -           10.2               Да
                Директ Лайт МС-040 Н/п хром           package_height                  -              -               Да
                Директ Лайт МС-040 Н/п хром                   volume                  -              -               Да
                Директ Лайт МС-040 Н/п хром                   brutto                  -              -               Да
                Директ Лайт МС-040 Н/п хром            package_depth                  -              -               Да
                Директ Лайт МС-040 Н/п хром            package_width                624              -               Да
                Директ Лайт МС-040 Н/п хром            package_depth                322              -               Да
                Директ Лайт МС-040 Н/п хром           package_height                665              -               Да
                Директ Лайт МС-040 Н/п хром                   brutto               14,1              -               Да
                Директ Лайт МС-040 Н/п хром                   volume               0,16              -               Да
                  Директ Люкс МС-040 В хром            package_width                  -              -               Да
                  Директ Люкс МС-040 В хром                    netto                  -           13.6               Да
                  Директ Люкс МС-040 В хром           package_height                  -              -               Да
                  Директ Люкс МС-040 В хром                   volume                  -              -               Да
                  Директ Люкс МС-040 В хром                   brutto                  -              -               Да
                  Директ Люкс МС-040 В хром            package_depth                  -              -               Да
                  Директ Люкс МС-040 В хром            package_width                910              -               Да
                  Директ Люкс МС-040 В хром            package_depth                270              -               Да
                  Директ Люкс МС-040 В хром           package_height                690              -               Да
                  Директ Люкс МС-040 В хром                   brutto               13,8              -               Да
                  Директ Люкс МС-040 В хром                   volume               0,17              -               Да
                  Дэли СН-503 белый пластик            package_width                  -              -               Да
                  Дэли СН-503 белый пластик                    netto                  -              -               Да
                  Дэли СН-503 белый пластик           package_height                  -              -               Да
                  Дэли СН-503 белый пластик                   volume                  -              -               Да
                  Дэли СН-503 белый пластик                   brutto                  -              -               Да
                  Дэли СН-503 белый пластик            package_depth                  -              -               Да
                  Дэли СН-503 белый пластик            package_width                624              -               Да
                  Дэли СН-503 белый пластик            package_depth                322              -               Да
                  Дэли СН-503 белый пластик           package_height                665              -               Да
                  Дэли СН-503 белый пластик                   brutto               10,3              -               Да
                  Дэли СН-503 белый пластик                   volume               0,13              -               Да
                       Дэли СН-503 Н/п хром            package_width                  -              -               Да
                       Дэли СН-503 Н/п хром                    netto                  -              -               Да
                       Дэли СН-503 Н/п хром           package_height                  -              -               Да
                       Дэли СН-503 Н/п хром                   volume                  -              -               Да
                       Дэли СН-503 Н/п хром                   brutto                  -              -               Да
                       Дэли СН-503 Н/п хром            package_depth                  -              -               Да
                       Дэли СН-503 Н/п хром            package_width                584              -               Да
                       Дэли СН-503 Н/п хром            package_depth                262              -               Да
                       Дэли СН-503 Н/п хром           package_height                584              -               Да
                       Дэли СН-503 Н/п хром                   brutto               10,4              -               Да
                       Дэли СН-503 Н/п хром                   volume               0,19              -               Да
                         Изи СН-599 пластик            package_width                  -              -               Да
                         Изи СН-599 пластик                    netto                  -           8.55               Да
                         Изи СН-599 пластик           package_height                  -              -               Да
                         Изи СН-599 пластик                   volume                  -              -               Да
                         Изи СН-599 пластик                   brutto                  -              -               Да
                         Изи СН-599 пластик            package_depth                  -              -               Да
                         Изи СН-599 пластик            package_width                760              -               Да
                         Изи СН-599 пластик            package_depth                440              -               Да
                         Изи СН-599 пластик           package_height                650              -               Да
                         Изи СН-599 пластик                   brutto              10,68              -               Да
                         Изи СН-599 пластик                   volume               0,22              -               Да
                        Йота М-805 BLACK PL            package_width                  -              -               Да
                        Йота М-805 BLACK PL                    netto                  -              -               Да
                        Йота М-805 BLACK PL           package_height                  -              -               Да
                        Йота М-805 BLACK PL                   volume                  -              -               Да
                        Йота М-805 BLACK PL                   brutto                  -              -               Да
                        Йота М-805 BLACK PL            package_depth                  -              -               Да
                        Йота М-805 BLACK PL            package_width                760              -               Да
                        Йота М-805 BLACK PL            package_depth                440              -               Да
                        Йота М-805 BLACK PL           package_height                650              -               Да
                        Йота М-805 BLACK PL                   brutto               8,72              -               Да
                        Йота М-805 BLACK PL                   volume               0,22              -               Да
                         Йота М-805 GRAY CH           package_height                  -              -               Да
                         Йота М-805 GRAY CH            package_width                  -              -               Да
                         Йота М-805 GRAY CH                   volume                  -              -               Да
                         Йота М-805 GRAY CH                   brutto                  -              -               Да
                         Йота М-805 GRAY CH            package_depth                  -              -               Да
                         Йота М-805 GRAY CH                    netto                  -              -               Да
                         Йота М-805 GRAY CH            package_width                760              -               Да
                         Йота М-805 GRAY CH            package_depth                440              -               Да
                         Йота М-805 GRAY CH           package_height                650              -               Да
                         Йота М-805 GRAY CH                   brutto                9,2              -               Да
                         Йота М-805 GRAY CH                   volume               0,22              -               Да
                        Йота М-805 WHITE CH            package_width                  -              -               Да
                        Йота М-805 WHITE CH                    netto                  -              -               Да
                        Йота М-805 WHITE CH           package_height                  -              -               Да
                        Йота М-805 WHITE CH                   volume                  -              -               Да
                        Йота М-805 WHITE CH                   brutto                  -              -               Да
                        Йота М-805 WHITE CH            package_depth                  -              -               Да
                        Йота М-805 WHITE CH            package_width                760              -               Да
                        Йота М-805 WHITE CH            package_depth                440              -               Да
                        Йота М-805 WHITE CH           package_height                650              -               Да
                        Йота М-805 WHITE CH                   brutto                9,2              -               Да
                        Йота М-805 WHITE CH                   volume               0,22              -               Да
                      Квадро М-807 BLACK PL            package_width                  -              -               Да
                      Квадро М-807 BLACK PL                    netto                  -           8.75               Да
                      Квадро М-807 BLACK PL           package_height                  -              -               Да
                      Квадро М-807 BLACK PL                   volume                  -              -               Да
                      Квадро М-807 BLACK PL                   brutto                  -              -               Да
                      Квадро М-807 BLACK PL            package_depth                  -              -               Да
                      Квадро М-807 BLACK PL            package_width                624              -               Да
                      Квадро М-807 BLACK PL            package_depth                322              -               Да
                      Квадро М-807 BLACK PL           package_height                665              -               Да
                      Квадро М-807 BLACK PL                   brutto                 12              -               Да
                      Квадро М-807 BLACK PL                   volume               0,13              -               Да
                      Квадро М-807 WHITE CH            package_width                  -              -               Да
                      Квадро М-807 WHITE CH                    netto                  -            9.3               Да
                      Квадро М-807 WHITE CH           package_height                  -              -               Да
                      Квадро М-807 WHITE CH                   volume                  -              -               Да
                      Квадро М-807 WHITE CH                   brutto                  -              -               Да
                      Квадро М-807 WHITE CH            package_depth                  -              -               Да
                      Квадро М-807 WHITE CH            package_width                624              -               Да
                      Квадро М-807 WHITE CH            package_depth                322              -               Да
                      Квадро М-807 WHITE CH           package_height                665              -               Да
                      Квадро М-807 WHITE CH                   brutto               11,2              -               Да
                      Квадро М-807 WHITE CH                   volume               0,13              -               Да
                   Кембридж СН-502 Н/п хром            package_width                  -              -               Да
                   Кембридж СН-502 Н/п хром                    netto                  -              -               Да
                   Кембридж СН-502 Н/п хром           package_height                  -              -               Да
                   Кембридж СН-502 Н/п хром                   volume                  -              -               Да
                   Кембридж СН-502 Н/п хром                   brutto                  -              -               Да
                   Кембридж СН-502 Н/п хром            package_depth                  -              -               Да
                   Кембридж СН-502 Н/п хром            package_width                584              -               Да
                   Кембридж СН-502 Н/п хром            package_depth                262              -               Да
                   Кембридж СН-502 Н/п хром           package_height                584              -               Да
                   Кембридж СН-502 Н/п хром                   brutto               9,66              -               Да
                   Кембридж СН-502 Н/п хром                   volume               0,19              -               Да
                        Кембридж СН-502 Н/п            package_width                  -              -               Да
                        Кембридж СН-502 Н/п                    netto                  -              -               Да
                        Кембридж СН-502 Н/п           package_height                  -              -               Да
                        Кембридж СН-502 Н/п                   volume                  -              -               Да
                        Кембридж СН-502 Н/п                   brutto                  -              -               Да
                        Кембридж СН-502 Н/п            package_depth                  -              -               Да
                        Кембридж СН-502 Н/п            package_width                584              -               Да
                        Кембридж СН-502 Н/п            package_depth                262              -               Да
                        Кембридж СН-502 Н/п           package_height                584              -               Да
                        Кембридж СН-502 Н/п                   brutto               9,66              -               Да
                        Кембридж СН-502 Н/п                   volume               0,19              -               Да
                    Кембридж СН-502 пластик            package_width                  -              -               Да
                    Кембридж СН-502 пластик                    netto                  -              -               Да
                    Кембридж СН-502 пластик           package_height                  -              -               Да
                    Кембридж СН-502 пластик                   volume                  -              -               Да
                    Кембридж СН-502 пластик                   brutto                  -              -               Да
                    Кембридж СН-502 пластик            package_depth                  -              -               Да
                    Кембридж СН-502 пластик            package_width                624              -               Да
                    Кембридж СН-502 пластик            package_depth                322              -               Да
                    Кембридж СН-502 пластик           package_height                665              -               Да
                    Кембридж СН-502 пластик                   brutto               10,6              -               Да
                    Кембридж СН-502 пластик                   volume               0,13              -               Да
                         Микс СН-696 Н/п BL            package_width                  -              -               Да
                         Микс СН-696 Н/п BL                    netto                  -            9.5               Да
                         Микс СН-696 Н/п BL           package_height                  -              -               Да
                         Микс СН-696 Н/п BL                   volume                  -              -               Да
                         Микс СН-696 Н/п BL                   brutto                  -              -               Да
                         Микс СН-696 Н/п BL            package_depth                  -              -               Да
                         Микс СН-696 Н/п BL            package_width                584              -               Да
                         Микс СН-696 Н/п BL            package_depth                262              -               Да
                         Микс СН-696 Н/п BL           package_height                584              -               Да
                         Микс СН-696 Н/п BL                   brutto                  9              -               Да
                         Микс СН-696 Н/п BL                   volume               0,14              -               Да
                         Микс СН-696 Н/п СН            package_width                  -              -               Да
                         Микс СН-696 Н/п СН                    netto                  -            9.5               Да
                         Микс СН-696 Н/п СН           package_height                  -              -               Да
                         Микс СН-696 Н/п СН                   volume                  -              -               Да
                         Микс СН-696 Н/п СН                   brutto                  -              -               Да
                         Микс СН-696 Н/п СН            package_depth                  -              -               Да
                         Микс СН-696 Н/п СН            package_width                584              -               Да
                         Микс СН-696 Н/п СН            package_depth                262              -               Да
                         Микс СН-696 Н/п СН           package_height                584              -               Да
                         Микс СН-696 Н/п СН                   brutto                  9              -               Да
                         Микс СН-696 Н/п СН                   volume               0,14              -               Да
                     Микс СН-696 пластик TG            package_width                  -              -               Да
                     Микс СН-696 пластик TG                    netto                  -              -               Да
                     Микс СН-696 пластик TG           package_height                  -              -               Да
                     Микс СН-696 пластик TG                   volume                  -              -               Да
                     Микс СН-696 пластик TG                   brutto                  -              -               Да
                     Микс СН-696 пластик TG            package_depth                  -              -               Да
                     Микс СН-696 пластик TG            package_width                630              -               Да
                     Микс СН-696 пластик TG            package_depth                290              -               Да
                     Микс СН-696 пластик TG           package_height                600              -               Да
                     Микс СН-696 пластик TG                   brutto               10,6              -               Да
